Company_Brand,Sector,Stage,Amount($),HeadQuarter,What_it_does,Year
Let's Dive,technology,Unknown,1700000.0,Bangalore,A platform for remote employee engagement and building team culture,2020
Habitat,education_and_learning,Seed,600000.0,Unknown,"Habitat, a social learning edtech platform for civil service aspirants",2020
SAWO Labs,technology,Seed,600000.0,Mumbai,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,2020
Signzy,technology,Unknown,3000000.0,Bangalore,Signzy are creating 'building blocks for a Digital Trust system.,2020
KopyKitab,education_and_learning,Unknown,3000000.0,Bangalore,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.",2020
Kyt,education_and_learning,Unknown,2500000.0,Singapore,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,2020
Raskik,automotive_and_transportation,Pre-series A,1000000.0,Unknown,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,2020
GetWork,technology,Pre-Seed,40000.0,Gurugram,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,2020
Mobile Premier League (MPL),sports_and_gaming,Series B,500000.0,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020
Pravasirojgar,education_and_learning,Unknown,33000000.0,Unknown,Initiative for blue-collar job workers,2020
Omatra Hotels,health_and_wellness,Seed,3000000.0,Kolkata,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,2020
Awign,education_and_learning,Pre-series B,3000000.0,Bangalore,Operations and manpower outsourcing startup,2020
NewsReach,technology,Seed,1500000.0,Gujarat,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,2020
Cashfree,technology,Series B,35000000.0,Bangalore,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,2020
Credgenics,technology,Pre-series A,3000000.0,Delhi,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020
GeoIQ,technology,Seed,300000.0,Bangalore,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",2020
Country Delight,automotive_and_transportation,Series C,25000000.0,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020
Quintype,technology,Series A,3500000.0,Bangalore,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",2020
CARS24,technology,Series E,200000000.0,Haryana,CARS24 is an India-based platform for selling used cars.,2020
Astrogate Labs,technology,Unknown,3000000.0,Bangalore,Astrogate Labs provides high-quality products related to space infrastructure.,2020
Power Gummies,health_and_wellness,Bridge,3000000.0,Delhi,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,2020
Cityflo,automotive_and_transportation,Series A,7000000.0,Mumbai,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,2020
AlgoBulls,e_commerce,Unknown,200000.0,Mumbai,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,2020
Credgenics,technology,Pre-series A,3000000.0,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020
Inntot,technology,Unknown,3000000.0,Kerala,"Inntot Technologies, is a technology driven company.",2020
Ensuredit,technology,Pre-series A,300000.0,Gurugram,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,2020
Shipsy,technology,Series A,6000000.0,Gurugram,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,2020
ERPNext,technology,Unknown,1000000.0,Mumbai,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",2020
LightSpeedAI,technology,Unknown,3000000.0,Bangalore,Developer of an optoelectronic processor designed to accelerate AI computations.,2020
Grip Invest,technology,Pre-series A,3000000.0,Gurugram,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,2020
Unacademy,education_and_learning,Unknown,3000000.0,Bangalore,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,2020
Yellow Classes,education_and_learning,Pre-series A,1300000.0,Gurugram,New-age fun-learning platform for kids.,2020
Plum,health_and_wellness,Unknown,4100000.0,Bangalore,High quality health insurance and health benefits,2020
STAGE,technology,Unknown,1000000.0,Indore,STAGE is an Indian language content platform for artist-led entertainment.,2020
Nykaa,fashion_and_lifestyle,Unknown,3000000.0,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020
Kaagaz Scanner,technology,Unknown,575000.0,Unknown,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,2020
NIRA,technology,Unknown,1000000.0,Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",2020
Prolixr,health_and_wellness,Seed,3000000.0,Gurugram,A premium skincare brand committed towards building innovative skin care wellness.,2020
Byju's,education_and_learning,Unknown,200000000.0,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2020
DaMENSCH,e_commerce,Unknown,6000000.0,Bangalore,DaMENSCH is a designer and seller of men's apparel.,2020
Country Delight,automotive_and_transportation,Series C,25000000.0,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020
SignalX,technology,Seed,800000.0,Hyderabad,SignalX offers an artificial intelligence-powered SaaS platform,2020
Lancify,education_and_learning,Unknown,300000.0,Bangalore,Lancify is building the world's strongest young workforce,2020
Krimanshi,technology,Seed,600000.0,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020
Instoried,technology,Pre-series A,1000000.0,Bangalore,Instoried is an augmented writing platform which improves customer interest and engagement.,2020
PlayerzPot,technology,Series A,3000000.0,Mumbai,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",2020
Instamojo,technology,Unknown,3000000.0,Bangalore,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.",2020
Turtlemint,health_and_wellness,Unknown,30000000.0,Mumbai,Turtlemint has built Indian personalized insurance platform,2020
Arata,e_commerce,Pre-series A,1000000.0,Delhi,Arata is an e-commerce site for beauty products and cosmetics.,2020
MPL,technology,Unknown,5000000.0,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020
True Balance,technology,Unknown,28000000.0,Gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,2020
Thrive,automotive_and_transportation,Pre-series A,3000000.0,Mumbai,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",2020
Kitchens Centre,real_estate_and_construction,Pre-series A,3000000.0,Delhi,Kitchens Centre offers turnkey solutions to cloud kitchens.,2020
Prescribe,health_and_wellness,Unknown,100000.0,Chennai,Provide online services to patients by leveraging WhatsApp.,2020
Nepra,energy_and_environment,Series C,18000000.0,Ahmedabad,NEPRA Resource Management provides waste management solutions in India.,2020
inFeedo,technology,Unknown,3200000.0,Gurugram,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",2020
Shilpa Sciences,health_and_wellness,Pre-series A,3000000.0,Bangalore,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,2020
Arzooo,technology,Unknown,3000000.0,Bangalore,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product",2020
MindTickle,technology,Debt,100000000.0,Pune,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,2020
Slice,technology,Debt,5000000.0,Bangalore,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,2020
Rapawalk,e_commerce,Seed,300000.0,Bangalore,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,2020
Oga Fit's,health_and_wellness,Pre-series A,3000000.0,Bangalore,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,2020
LAVAL,fashion_and_lifestyle,Pre-series A,3000000.0,Bangalore,"Laval Cosmetics, affordable makeup for all ages",2020
Stride Ventures,finance_and_banking,Unknown,80000000.0,Delhi,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,2020
BlackSoil,technology,Unknown,10000000.0,Mumbai,Blacksoil Advisory is an independent boutique advisory firm.,2020
Biocon,health_and_wellness,Unknown,15000000.0,Bangalore,"Biocon is a healthcare and technology, company focused on biotechnology.",2020
Clientjoy,technology,Pre-series A,800000.0,Gujarat,Client Management Software For Modern Agencies.,2020
Xpressbees,e_commerce,Unknown,100000000.0,Pune,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,2020
GalaxyCard,technology,Seed,3000000.0,Gurugram,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,2020
Wellness Forever,health_and_wellness,Unknown,100000000.0,Mumbai,Wellness Forever is the one-stop destination for wellness,2020
MoooFarm,agriculture_and_food,Pre-Seed,500000.0,Gurugram,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,2020
BitClass,technology,Seed,2000000.0,Bangalore,BitClass is a PaaS solution which helps teachers set up their independent live classes,2020
Gonuts,technology,Seed,400000.0,Mumbai,Personalised Video shoutouts from favourite celebrity.,2020
Uolo,education_and_learning,Seed,2000000.0,Bangalore,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,2020
Kirana King,technology,Pre-series A,900000.0,Jaipur,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",2020
Jade Forest,automotive_and_transportation,Seed,250000.0,Delhi,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",2020
iKure,health_and_wellness,Unknown,3000000.0,Kolkata,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,2020
FrontRow,education_and_learning,Seed,3200000.0,Bangalore,"Comprehensive courses, taught by idols.",2020
Reliance Retail,e_commerce,Unknown,10000000.0,Mumbai,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,2020
TUBBR,technology,Unknown,3000000.0,Frisco,World's First Personal Social Network,2020
Ather Energy,technology,Series D,35000000.0,Bangalore,Ather Energy is a manufacturer of electric scooters.,2020
Routematic,technology,Unknown,2000000.0,Bangalore,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,2020
LivFin,technology,Unknown,4700000.0,Delhi,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),2020
Universal Sportsbiz Pvt Ltd,fashion_and_lifestyle,Unknown,3000000.0,Bangalore,A fashion startup based in Bengaluru.,2020
Lattu Kids,education_and_learning,Unknown,3000000.0,Mumbai,Lattu kids is an edutainment platform for preschool kids.,2020
Eggoz,automotive_and_transportation,Pre-series A,1500000.0,Indore,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",2020
Steradian Semiconductors,technology,Unknown,3000000.0,Bangalore,Semiconductor company focused on CMOS millimeter wave products for Radar.,2020
CHARGE+ZONE,automotive_and_transportation,Pre-series A,3000000.0,Gujarat,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",2020
Stones2milestones,education_and_learning,Bridge,2000000.0,Gurugram,Stones2milestones is India (Delhi) Based EdTech Company,2020
Udacity,education_and_learning,Debt,75000000.0,California,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",2020
AjnaLens,technology,Bridge,1000000.0,Thane,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",2020
Gully Network,e_commerce,Pre-series A,1200000.0,Bangalore,Gully Network is a tech-enabled network of mid-sized grocery stores.,2020
TurboHire,technology,Seed,1000000.0,Hyderabad,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,2020
Traya,health_and_wellness,Seed,3000000.0,Mumbai,work with our customers closely to get their hair health sorted for long-term effective results,2020
Charcoal Eats,automotive_and_transportation,Unknown,2000000.0,Mumbai,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",2020
Mitron TV,technology,Unknown,3000000.0,Bangalore,Mitron is a free short videoplatform for next generation,2020
Svami,automotive_and_transportation,Unknown,800000.0,Mumbai,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,2020
Dhurnia,education_and_learning,Unknown,100000.0,Dhingsara,Developer of an online learning platform intended for various competitive exam preparations.,2020
Expertrons,education_and_learning,Unknown,3000000.0,Mumbai,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,2020
Leena AI,technology,Unknown,8000000.0,New York,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,2020
Bizlog,technology,Unknown,1000000.0,Bangalore,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,2020
Tamasha.live,sports_and_gaming,Unknown,300000.0,Mumbai,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.",2020
Fedo,technology,Unknown,1000000.0,Bangalore,Artificial Intelligence based Credit Score for Health,2020
FabHotels,health_and_wellness,Unknown,1000000.0,Gurugram,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,2020
Freshokartz,agriculture_and_food,Pre-series A,1000000.0,Jaipur,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",2020
FlexiLoans,technology,Debt,6000000.0,Mumbai,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",2020
Agrix,agriculture_and_food,Unknown,3000000.0,Patna,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",2020
BharatAgri,agriculture_and_food,Pre-series A,3000000.0,Pune,A Smart Farming Technology Platform for Indian Farmers,2020
FreshtoHome,e_commerce,Series C,121000000.0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020
Credable,technology,Unknown,4500000.0,Mumbai,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,2020
Railofy,automotive_and_transportation,Seed,5000000.0,Mumbai,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,2020
Finova Capital,technology,Unknown,55000000.0,Jaipur,Finova Capital is a non-banking financial company.,2020
Teachmint,education_and_learning,Seed,3500000.0,Bangalore,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,2020
Peel-Works,e_commerce,Unknown,3000000.0,Mumbai,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,2020
Janani,agriculture_and_food,Pre-Seed,200000.0,Bangalore,Janani aims to make the process of infertility treatment and assisted fertilisation easier,2020
Credgenics,technology,Seed,3300000.0,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020
Finelistings,technology,Unknown,3000000.0,Delhi,A Used Luxury Car Marketplace,2020
Wellversed,health_and_wellness,Pre-series A,3000000.0,Delhi,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,2020
Jumbotail,e_commerce,Series B2,11000000.0,Bangalore,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",2020
Winzo,technology,Unknown,2000000.0,Delhi,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,2020
mCaffeine,fashion_and_lifestyle,Series B,5000000.0,Mumbai,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",2020
Pocket FM,technology,Series A,5000000.0,Bangalore,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,2020
Snackible,health_and_wellness,Bridge,3000000.0,Mumbai,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,2020
FreshtoHome,e_commerce,Unknown,16000000.0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020
Jumbotail,technology,Series B2,11000000.0,Bangalore,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,2020
Nykaa,e_commerce,Unknown,3000000.0,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020
TagZ Foods,automotive_and_transportation,Unknown,3000000.0,Bangalore,TagZ Foods is a supplier of snacks and food products.,2020
Genius Teacher,education_and_learning,Unknown,2000000.0,Mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2020
Krimanshi Feeds,health_and_wellness,Unknown,500000.0,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020
Origo,agriculture_and_food,Debt,4000000.0,Gurugram,Provider of marketing and warehousing services for agricultural commodities.,2020
GetVantage,technology,Seed,5000000.0,Mumbai,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,2020
Betterplace,technology,Series B,10000000.0,Bangalore,Developer of a digital verification platform designed to manage the semi-formal workforce.,2020
Biddano,health_and_wellness,Pre-series A,600000.0,Mumbai,India's 1st tech-enabled healthcare logistics platform.,2020
InVideo,technology,Series A,15000000.0,Mumbai,InVideo enables you to transform your content into great videos.,2020
Arzooo,technology,Series A,7500000.0,Bangalore,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales",2020
Hubilo,technology,Seed,4500000.0,San Francisco,World’s smartest virtual event platform that brings Experience & Intelligence together,2020
BASIC Home Loan,technology,Seed,5000000.0,Gurugram,"A platform for automating home loans for middle and low-income households in India,",2020
Ketos,technology,Unknown,18000000.0,San Francisco,KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,2020
SUGAR cosmetics,fashion_and_lifestyle,Debt,2000000.0,Mumbai,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,2020
Signzy,technology,Unknown,5400000.0,Bangalore,It is creating 'building blocks for a Digital Trust system.,2020
Ahaguru,education_and_learning,Series A,3000000.0,Chennai,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.",2020
Tekion,technology,Series C,150000000.0,San Ramon,It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,2020
Brighteye Ventures,education_and_learning,Unknown,5400000.0,Paris,Education technology venture capital firm.,2020
EzeRx,health_and_wellness,Seed,200000.0,Kolkata,Developer and manufacturer of medical devices,2020
VitalTech,health_and_wellness,Seed,3000000.0,Plano,"VitalTech is a develop technologies that empower patients to better care for their safety,",2020
Genius Teacher,education_and_learning,Unknown,2000000.0,Mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2020
Ultraviolette Automotive,technology,Series B,4000000.0,Bangalore,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,2020
Tring,technology,Unknown,3000000.0,Mumbai,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.",2020
Rare Planet,technology,Pre-series A,400000.0,Kolkata,Rare Planet sells handicrafts made by local artisans.,2020
GoodGamer,sports_and_gaming,Seed,2500000.0,Bangalore,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,2020
InnAccel,health_and_wellness,Pre-series A,1500000.0,Bangalore,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",2020
Tiliter,technology,Unknown,7500000.0,Sydney,Software that uses computer vision to recognise products without barcodes,2020
Slintel,retail_and_consumer_goods,Unknown,4200000.0,San Francisco Bay Area,"Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.",2020
SoOLEGAL,technology,Unknown,4000000.0,Delhi,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",2020
HobSpace,education_and_learning,Seed,200000.0,Mumbai,India's Activity Hub for Kids,2020
Supplynote,technology,Seed,500000.0,Noida,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,2020
Hire Me Car,automotive_and_transportation,Seed,3000000.0,Noida,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,2020
ShopUp,e_commerce,Series A,22000000.0,Bangladesh,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.",2020
Harmonizer India,technology,Unknown,3000000.0,Bangalore,"Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,",2020
Zomato,automotive_and_transportation,Unknown,52000000.0,Gurugram,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,2020
Dukaan,technology,Seed,6000000.0,Mumbai,Developer of an android application designed for businesses to sell online.,2020
CredR,automotive_and_transportation,Unknown,2000000.0,Mumbai,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,2020
Satyukt,agriculture_and_food,Seed,500000.0,Bangalore,An agritech company that provides business to business (B2B) agricultural data,2020
RACEnergy,technology,Unknown,3000000.0,Hyderabad,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,2020
TREAD,health_and_wellness,Pre-Seed,1100000.0,Bangalore,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,2020
Anveshan,automotive_and_transportation,Pre-Seed,100000.0,Bangalore,Provide quality and healthy food products,2020
TeaMonk,automotive_and_transportation,Pre-series A,900000.0,Bangalore,India's Finest Specialty Tea company.,2020
Fleetx,technology,Pre-series B,3000000.0,Gurugram,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.",2020
ReNEWate,real_estate_and_construction,Pre-Seed,3000000.0,Pune,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",2020
Tango Eye,technology,Seed,3000000.0,Chennai,Retail Video Analytics SaaS product,2020
Rare Planet,retail_and_consumer_goods,Pre-series A,3000000.0,Kolkata,Rare Planet sells handicrafts made by local artisans.,2020
Avataa Me,technology,Series A,7000000.0,Bangalore,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,2020
Arrival,automotive_and_transportation,Unknown,118000000.0,London,Arrival is a technology company that specializes in developing electric vehicles.,2020
Cover Genius,technology,Unknown,15000000.0,Sydney,Cover Genius provides an insurance distribution platform designed to protect the customers of e-commerce companies,2020
Phononic Vibes,technology,Unknown,2300000.0,Milano,"Phononic Vibes introduces a new patented technology for vibration and noise control and isolation, with a circular economy approach.",2020
MikeLegal,technology,Seed,3000000.0,Gurugram,MikeLegal is an AI powered legal associate that aims to build an ecosystem of legal tools,2020
Clair,technology,Seed,4500000.0,New York,Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms.,2020
Gourmet Garden,technology,Unknown,3000000.0,Palmwoods,Gourmet Garden is a global market leader in chilled convenient packaged herbs.,2020
Miko,technology,Pre-series B,3000000.0,Mumbai,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.",2020
Razorpay,technology,Series D,100000000.0,Bangalore,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",2020
Ninjacart,automotive_and_transportation,Unknown,30000000.0,Bangalore,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.",2020
Wow! Momo,automotive_and_transportation,Debt,5000000.0,Kolkata,Wow! Momo is a chain of fast-food restaurants that specializes in momos.,2020
Pepper Content,technology,Series A,4200000.0,Mumbai,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,2020
LIVSPACE,real_estate_and_construction,Debt,4000000.0,Bangalore,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.",2020
Acculi Labs,health_and_wellness,Seed,600000.0,Bangalore,Acculi Labs is a clinical grade smartphone based diagnostic tool,2020
Your MD,health_and_wellness,Unknown,25000000.0,London,Your.MD is a platform committed to helping a billion people find their health by unlocking self-care with digital technology.,2020
Antaios,technology,Unknown,11000000.0,France,Developer of memory-based technology intended to solve issues of advanced computing.,2020
Unnati,agriculture_and_food,Pre-series A,1700000.0,Noida,A helping hand to the farming community through Artificial Intelligence,2020
Disprz,education_and_learning,Pre-series B,1600000.0,Chennai,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",2020
Uni,technology,Seed,18500000.0,Mumbai,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.,2020
Credit Wise Capital,technology,Seed,6000000.0,Mumbai,CreditWise Capital is a consumer finance company.,2020
Chargebee,technology,Series F,55000000.0,San Francisco Bay Area,Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,2020
Reliance Retail Ventures Ltd,technology,Unknown,70000000000.0,Mumbai,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",2020
Winuall,education_and_learning,Unknown,2000000.0,Bangalore,"Winuall specializes in the fields of E-learning, online quizzes, and tests, study material for competitive exams.",2020
Genrobotics,technology,Unknown,300000.0,Trivandrum,GenRobotic specializes in powered robotic exoskeletons with RC controlled humanoid robotic systems and Artificial Intelligence.,2020
Livve,real_estate_and_construction,Seed,1500000.0,Kochi,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,2020
Ergos,agriculture_and_food,Series A,5000000.0,Samastipur,Ergos is building an integrated supply chain by setting up micro warehouses.,2020
Krishitantra,technology,Seed,1000000.0,Hyderabad,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,2020
PakkaProfile,technology,Seed,3000000.0,Bangalore,"PakkaProfile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games",2020
Monet Networks,technology,Bridge,500000.0,Irvine,Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback.,2020
Unocoin,technology,Series A,3000000.0,Tumkur,"Unocoin is an Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.",2020
Pesto,education_and_learning,Unknown,3000000.0,Delhi,Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.,2020
NirogStreet,technology,Pre-series A,2000000.0,Gurugram,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,2020
Bambrew,manufacturing_and_industrial,Pre-Seed,3000000.0,Bangalore,Bambrew is an online shop for reusable bamboo straws.,2020
Omnify,technology,Pre-series A,3000000.0,San Francisco Bay Area,Omnify is a Global SaaS platform for Small Services Business,2020
Fanball XI,sports_and_gaming,Seed,1000000.0,Delhi,The gaming company mostly focused on fantasy football games,2020
Treebo Hotels,health_and_wellness,Unknown,6000000.0,Bangalore,"Treebo is India's tech-enabled, asset-light affordable accommodation brand.",2020
GPS Renewables,energy_and_environment,Series A,3000000.0,Bangalore,To solve the urban waste problem by utilising local technologies and business models.,2020
Public,technology,Unknown,30000000.0,Delhi,Video-led social app Public provides users with a platform to share and view important hyperlocal videos,2020
Legal Salah,technology,Seed,1000000.0,Kolkata,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.,2020
FanPlay,sports_and_gaming,Seed,3000000.0,Delhi,FanPlay Technologies operates as a real-money gaming startup.,2020
ECOSTP,health_and_wellness,Unknown,19000000.0,Bangalore,Eco friendly zero power zero maintenance sewage treatment plant in India.,2020
Coralogix,technology,Series B,25000000.0,San Francisco,Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.,2020
Equiwatt,technology,Unknown,300000.0,Newcastle Upon Tyne,Equiwatt is a digital platform enabling households to get paid for saving energy at peak times.,2020
Reliance Retail Ventures,e_commerce,Unknown,800000000.0,Mumbai,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",2020
Zhangmen,education_and_learning,Unknown,400000000.0,Shanghai,Zhangmen is an online tutoring platform provides tutoring courses to students.,2020
AgroWave,agriculture_and_food,Unknown,500000.0,Gurugram,Agrowave engages in transforming agriculture supply chain by connecting farms to businesses.,2020
Sapio Analytics,technology,Unknown,150000.0,Mumbai,Sapio Analytics provides AI-powered policymaking solutions for government institutions.,2020
Taimei,health_and_wellness,Unknown,176000000.0,Jiaxing,Taimei Technology provides a cloud platform for clinical research collaboration.,2020
